#E/Ry      E-EF/eV    n_doped/cm-3   logn/cm-3      S/VK-1     sigma_t/Sm-1s-1 log_sigma_t/Sm-1s-1 kappael_t/Wm-1K-1s-1 log_kappael_t/Wm-1K-1s-1 mstar/me  
0.451590 0.195560 1.126590e+16 16.051766 -5.166240e-04 8.862470e+15 15.947555 1.062842e+12 12.026469 0.050446
0.451790 0.198281 1.274826e+16 16.105451 -5.218972e-04 9.744140e+15 15.988744 1.127026e+12 12.051934 0.049577
0.451990 0.201002 1.437885e+16 16.157724 -5.246776e-04 1.073238e+16 16.030696 1.197393e+12 12.078237 0.048885
0.452190 0.203724 1.615768e+16 16.208379 -5.253709e-04 1.183779e+16 16.073271 1.274212e+12 12.105242 0.048332
0.452390 0.206445 1.808474e+16 16.257312 -5.243280e-04 1.307222e+16 16.116349 1.357769e+12 12.132826 0.047890
0.452590 0.209166 2.016004e+16 16.304491 -5.218487e-04 1.444883e+16 16.159833 1.448373e+12 12.160880 0.047538
0.452790 0.211887 2.253180e+16 16.352796 -5.181865e-04 1.598224e+16 16.203638 1.546346e+12 12.189307 0.047257
0.452990 0.214608 2.520004e+16 16.401401 -5.135540e-04 1.768867e+16 16.247695 1.652029e+12 12.218018 0.047033
0.453190 0.217329 2.816475e+16 16.449706 -5.081287e-04 1.958608e+16 16.291948 1.765775e+12 12.246935 0.046857
0.453390 0.220050 3.127770e+16 16.495235 -5.020576e-04 2.169432e+16 16.336346 1.887955e+12 12.275992 0.046718
0.453590 0.222772 3.483535e+16 16.542020 -4.954626e-04 2.403531e+16 16.380850 2.018949e+12 12.305125 0.046610
0.453790 0.225493 3.883771e+16 16.589254 -4.884440e-04 2.663322e+16 16.425424 2.159150e+12 12.334283 0.046529
0.453990 0.228214 4.313655e+16 16.634845 -4.810844e-04 2.951468e+16 16.470038 2.308956e+12 12.363416 0.046468
0.454190 0.230935 4.788008e+16 16.680155 -4.734520e-04 3.270896e+16 16.514667 2.468775e+12 12.392482 0.046425
0.454390 0.233656 5.321656e+16 16.726047 -4.656028e-04 3.624821e+16 16.559287 2.639016e+12 12.421442 0.046397
0.454590 0.236377 5.914599e+16 16.771925 -4.575829e-04 4.016768e+16 16.603877 2.820089e+12 12.450263 0.046382
0.454790 0.239098 6.566835e+16 16.817356 -4.494306e-04 4.450597e+16 16.648418 3.012400e+12 12.478913 0.046378
0.454990 0.241820 7.278366e+16 16.862034 -4.411776e-04 4.930523e+16 16.692893 3.216352e+12 12.507364 0.046384
0.455190 0.244541 8.078838e+16 16.907349 -4.328502e-04 5.461146e+16 16.737284 3.432334e+12 12.535590 0.046400
0.455390 0.247262 8.968251e+16 16.952708 -4.244706e-04 6.047472e+16 16.781574 3.660723e+12 12.563567 0.046423
0.455590 0.249983 9.931782e+16 16.997027 -4.160575e-04 6.694936e+16 16.825746 3.901876e+12 12.591273 0.046455
0.455790 0.252704 1.101390e+17 17.041941 -4.076272e-04 7.409428e+16 16.869785 4.156127e+12 12.618689 0.046495
0.455990 0.255425 1.219979e+17 17.086352 -3.991935e-04 8.197312e+16 16.913671 4.423783e+12 12.645794 0.046542
0.456190 0.258146 1.351908e+17 17.130947 -3.907686e-04 9.065444e+16 16.957389 4.705118e+12 12.672571 0.046597
0.456390 0.260868 1.497179e+17 17.175274 -3.823636e-04 1.002119e+17 17.000919 5.000369e+12 12.699002 0.046659
0.456590 0.263589 1.655791e+17 17.219006 -3.739882e-04 1.107242e+17 17.044243 5.309733e+12 12.725073 0.046730
0.456790 0.266310 1.832191e+17 17.262971 -3.656518e-04 1.222755e+17 17.087340 5.633360e+12 12.750768 0.046810
0.456990 0.269031 2.026380e+17 17.306721 -3.573630e-04 1.349551e+17 17.130189 5.971355e+12 12.776073 0.046899
0.457190 0.271752 2.239839e+17 17.350217 -3.491298e-04 1.488572e+17 17.172770 6.323768e+12 12.800976 0.046997
0.457390 0.274473 2.475534e+17 17.393669 -3.409602e-04 1.640814e+17 17.215059 6.690603e+12 12.825465 0.047106
0.457590 0.277194 2.733464e+17 17.436713 -3.328619e-04 1.807315e+17 17.257034 7.071806e+12 12.849530 0.047226
0.457790 0.279916 3.016593e+17 17.479517 -3.248424e-04 1.989160e+17 17.298670 7.467275e+12 12.873162 0.047357
0.457990 0.282637 3.326406e+17 17.521975 -3.169090e-04 2.187471e+17 17.339942 7.876856e+12 12.896353 0.047501
0.458190 0.285358 3.665865e+17 17.564176 -3.090691e-04 2.403402e+17 17.380826 8.300353e+12 12.919097 0.047658
0.458390 0.288079 4.037936e+17 17.606159 -3.013299e-04 2.638132e+17 17.421297 8.737527e+12 12.941389 0.047829
0.458590 0.290800 4.444102e+17 17.647784 -2.936982e-04 2.892859e+17 17.461327 9.188107e+12 12.963226 0.048015
0.458790 0.293521 4.885844e+17 17.688940 -2.861811e-04 3.168789e+17 17.500893 9.651796e+12 12.984608 0.048217
0.458990 0.296242 5.369092e+17 17.729901 -2.787853e-04 3.467126e+17 17.539970 1.012828e+13 13.005536 0.048436
0.459190 0.298963 5.893846e+17 17.770399 -2.715170e-04 3.789062e+17 17.578532 1.061725e+13 13.026012 0.048673
0.459390 0.301685 6.463070e+17 17.810439 -2.643825e-04 4.135767e+17 17.616556 1.111839e+13 13.046042 0.048928
0.459590 0.304406 7.081212e+17 17.850108 -2.573876e-04 4.508380e+17 17.654020 1.163140e+13 13.065632 0.049202
0.459790 0.307127 7.751237e+17 17.889371 -2.505375e-04 4.907992e+17 17.690904 1.215603e+13 13.084792 0.049497
0.459990 0.309848 8.474627e+17 17.928121 -2.438372e-04 5.335647e+17 17.727187 1.269205e+13 13.103532 0.049812
0.460190 0.312569 9.255828e+17 17.966415 -2.372909e-04 5.792321e+17 17.762853 1.323927e+13 13.121864 0.050149
0.460390 0.315290 1.009929e+18 18.004291 -2.309026e-04 6.278922e+17 17.797885 1.379759e+13 13.139803 0.050509
0.460590 0.318011 1.100501e+18 18.041590 -2.246754e-04 6.796283e+17 17.832271 1.436693e+13 13.157364 0.050891
0.460790 0.320733 1.197891e+18 18.078417 -2.186119e-04 7.345153e+17 17.866001 1.494733e+13 13.174564 0.051297
0.460990 0.323454 1.302249e+18 18.114694 -2.127140e-04 7.926197e+17 17.899065 1.553884e+13 13.191419 0.051727
0.461190 0.326175 1.414019e+18 18.150455 -2.069829e-04 8.539995e+17 17.931458 1.614164e+13 13.207948 0.052181
0.461390 0.328896 1.533497e+18 18.185683 -2.014194e-04 9.187038e+17 17.963175 1.675592e+13 13.224168 0.052659
0.461590 0.331617 1.660979e+18 18.220364 -1.960233e-04 9.867733e+17 17.994217 1.738198e+13 13.240099 0.053162
0.461790 0.334338 1.796911e+18 18.254527 -1.907941e-04 1.058241e+18 18.024584 1.802014e+13 13.255758 0.053690
0.461990 0.337059 1.941589e+18 18.288157 -1.857304e-04 1.133130e+18 18.054280 1.867081e+13 13.271163 0.054243
0.462190 0.339781 2.095161e+18 18.321217 -1.808306e-04 1.211460e+18 18.083309 1.933442e+13 13.286331 0.054820
0.462390 0.342502 2.258072e+18 18.353738 -1.760923e-04 1.293239e+18 18.111679 2.001144e+13 13.301278 0.055422
0.462590 0.345223 2.430767e+18 18.385743 -1.715128e-04 1.378473e+18 18.139398 2.070238e+13 13.316020 0.056049
0.462790 0.347944 2.613393e+18 18.417205 -1.670891e-04 1.467157e+18 18.166477 2.140778e+13 13.330572 0.056699
0.462990 0.350665 2.806247e+18 18.448126 -1.628177e-04 1.559286e+18 18.192926 2.212819e+13 13.344946 0.057374
0.463190 0.353386 3.009775e+18 18.478534 -1.586952e-04 1.654846e+18 18.218757 2.286419e+13 13.359156 0.058071
0.463390 0.356107 3.224271e+18 18.508432 -1.547178e-04 1.753819e+18 18.243985 2.361636e+13 13.373213 0.058792
0.463590 0.358829 3.449886e+18 18.537805 -1.508816e-04 1.856186e+18 18.268622 2.438531e+13 13.387128 0.059535
0.463790 0.361550 3.687211e+18 18.566698 -1.471828e-04 1.961922e+18 18.292682 2.517163e+13 13.400911 0.060300
0.463990 0.364271 3.936247e+18 18.595082 -1.436173e-04 2.071000e+18 18.316180 2.597590e+13 13.414571 0.061086
0.464190 0.366992 4.197586e+18 18.623000 -1.401812e-04 2.183391e+18 18.339131 2.679872e+13 13.428114 0.061893
0.464390 0.369713 4.471229e+18 18.650427 -1.368707e-04 2.299065e+18 18.361551 2.764063e+13 13.441548 0.062720
0.464590 0.372434 4.757620e+18 18.677390 -1.336817e-04 2.417993e+18 18.383455 2.850217e+13 13.454878 0.063567
0.464790 0.375155 5.057056e+18 18.703898 -1.306104e-04 2.540144e+18 18.404858 2.938382e+13 13.468108 0.064434
0.464990 0.377877 5.369833e+18 18.729961 -1.276529e-04 2.665490e+18 18.425777 3.028604e+13 13.481243 0.065319
0.465190 0.380598 5.696248e+18 18.755589 -1.248053e-04 2.794003e+18 18.446227 3.120923e+13 13.494283 0.066222
0.465390 0.383319 6.036596e+18 18.780792 -1.220636e-04 2.925656e+18 18.466223 3.215373e+13 13.507231 0.067143
0.465590 0.386040 6.391028e+18 18.805571 -1.194239e-04 3.060428e+18 18.485782 3.311984e+13 13.520088 0.068080
0.465790 0.388761 6.759838e+18 18.829936 -1.168824e-04 3.198298e+18 18.504919 3.410779e+13 13.532854 0.069034
0.465990 0.391482 7.143471e+18 18.853909 -1.144351e-04 3.339246e+18 18.523648 3.511778e+13 13.545527 0.070005
0.466190 0.394203 7.542077e+18 18.877491 -1.120782e-04 3.483258e+18 18.541986 3.614992e+13 13.558107 0.070990
0.466390 0.396925 7.955950e+18 18.900692 -1.098078e-04 3.630319e+18 18.559945 3.720430e+13 13.570593 0.071991
0.466590 0.399646 8.385389e+18 18.923523 -1.076201e-04 3.780420e+18 18.577540 3.828097e+13 13.582983 0.073005
0.466790 0.402367 8.830688e+18 18.945995 -1.055114e-04 3.933550e+18 18.594785 3.937994e+13 13.595275 0.074034
0.466990 0.405088 9.292146e+18 18.968116 -1.034779e-04 4.089701e+18 18.611692 4.050118e+13 13.607468 0.075077
0.467190 0.407809 9.769761e+18 18.989884 -1.015160e-04 4.248867e+18 18.628273 4.164466e+13 13.619559 0.076132
0.467390 0.410530 1.026427e+19 19.011328 -9.962235e-05 4.411041e+18 18.644541 4.281037e+13 13.631549 0.077200
0.467590 0.413251 1.077554e+19 19.032439 -9.779345e-05 4.576213e+18 18.660506 4.399828e+13 13.643436 0.078281
0.467790 0.415972 1.130400e+19 19.053232 -9.602617e-05 4.744377e+18 18.676179 4.520838e+13 13.655219 0.079373
0.467990 0.418694 1.184995e+19 19.073717 -9.431753e-05 4.915521e+18 18.691570 4.644072e+13 13.666899 0.080477
0.468190 0.421415 1.241369e+19 19.093901 -9.266473e-05 5.089634e+18 18.706687 4.769534e+13 13.678476 0.081592
0.468390 0.424136 1.299551e+19 19.113793 -9.106522e-05 5.266704e+18 18.721539 4.897235e+13 13.689951 0.082718
0.468590 0.426857 1.359542e+19 19.133393 -8.951663e-05 5.446716e+18 18.736135 5.027186e+13 13.701325 0.083855
0.468790 0.429578 1.421401e+19 19.152717 -8.801683e-05 5.629655e+18 18.750482 5.159402e+13 13.712599 0.085002
0.468990 0.432299 1.485157e+19 19.171772 -8.656386e-05 5.815506e+18 18.764587 5.293898e+13 13.723776 0.086160
0.469190 0.435020 1.550811e+19 19.190559 -8.515592e-05 6.004253e+18 18.778459 5.430690e+13 13.734855 0.087329
0.469390 0.437742 1.618406e+19 19.209088 -8.379138e-05 6.195882e+18 18.792103 5.569795e+13 13.745839 0.088508
0.469590 0.440463 1.687958e+19 19.227362 -8.246871e-05 6.390381e+18 18.805527 5.711230e+13 13.756730 0.089697
0.469790 0.443184 1.759526e+19 19.245396 -8.118650e-05 6.587736e+18 18.818736 5.855007e+13 13.767527 0.090896
0.469990 0.445905 1.833110e+19 19.263189 -7.994343e-05 6.787937e+18 18.831738 6.001142e+13 13.778234 0.092106
0.470190 0.448626 1.908740e+19 19.280747 -7.873823e-05 6.990977e+18 18.844538 6.149644e+13 13.788850 0.093326
0.470390 0.451347 1.986445e+19 19.298077 -7.756969e-05 7.196850e+18 18.857142 6.300524e+13 13.799377 0.094556
0.470590 0.454068 2.066270e+19 19.315187 -7.643668e-05 7.405551e+18 18.869557 6.453789e+13 13.809815 0.095798
0.470790 0.456790 2.148230e+19 19.332081 -7.533805e-05 7.617081e+18 18.881789 6.609442e+13 13.820165 0.097049
0.470990 0.459511 2.232353e+19 19.348763 -7.427272e-05 7.831440e+18 18.893842 6.767486e+13 13.830427 0.098312
0.471190 0.462232 2.318671e+19 19.365239 -7.323960e-05 8.048634e+18 18.905722 6.927920e+13 13.840603 0.099586
0.471390 0.464953 2.407212e+19 19.381514 -7.223761e-05 8.268669e+18 18.917436 7.090738e+13 13.850691 0.100871
0.471590 0.467674 2.497991e+19 19.397591 -7.126566e-05 8.491556e+18 18.928987 7.255937e+13 13.860693 0.102168
0.471790 0.470395 2.591069e+19 19.413479 -7.032267e-05 8.717305e+18 18.940382 7.423507e+13 13.870609 0.103476
0.471990 0.473116 2.686458e+19 19.429180 -6.940756e-05 8.945930e+18 18.951625 7.593441e+13 13.880439 0.104796
0.472190 0.475838 2.784190e+19 19.444699 -6.851925e-05 9.177445e+18 18.962722 7.765730e+13 13.890182 0.106128
0.472390 0.478559 2.884278e+19 19.460037 -6.765667e-05 9.411864e+18 18.973676 7.940366e+13 13.899841 0.107473
0.472590 0.481280 2.986783e+19 19.475204 -6.681880e-05 9.649204e+18 18.984491 8.117341e+13 13.909414 0.108829
0.472790 0.484001 3.091719e+19 19.490200 -6.600461e-05 9.889480e+18 18.995173 8.296650e+13 13.918903 0.110199
0.472990 0.486722 3.199101e+19 19.505028 -6.521314e-05 1.013271e+19 19.005725 8.478288e+13 13.928308 0.111581
0.473190 0.489443 3.309003e+19 19.519697 -6.444344e-05 1.037890e+19 19.016151 8.662250e+13 13.937631 0.112975
0.473390 0.492164 3.421410e+19 19.534205 -6.369461e-05 1.062808e+19 19.026455 8.848533e+13 13.946871 0.114383
0.473590 0.494886 3.536381e+19 19.548559 -6.296577e-05 1.088025e+19 19.036639 9.037137e+13 13.956031 0.115803
0.473790 0.497607 3.653932e+19 19.562760 -6.225606e-05 1.113544e+19 19.046707 9.228059e+13 13.965110 0.117237
0.473990 0.500328 3.774107e+19 19.576814 -6.156468e-05 1.139366e+19 19.056663 9.421303e+13 13.974111 0.118683
0.474190 0.503049 3.896935e+19 19.590723 -6.089083e-05 1.165492e+19 19.066509 9.616872e+13 13.983034 0.120143
0.474390 0.505770 4.022431e+19 19.604489 -6.023377e-05 1.191923e+19 19.076248 9.814773e+13 13.991880 0.121615
0.474590 0.508491 4.150655e+19 19.618117 -5.959281e-05 1.218662e+19 19.085883 1.001502e+14 14.000652 0.123100
0.474790 0.511212 4.281621e+19 19.631608 -5.896730e-05 1.245707e+19 19.095416 1.021762e+14 14.009350 0.124598
0.474990 0.513934 4.415374e+19 19.644967 -5.835668e-05 1.273061e+19 19.104849 1.042260e+14 14.017976 0.126108
0.475190 0.516655 4.551928e+19 19.658195 -5.776042e-05 1.300724e+19 19.114185 1.062997e+14 14.026532 0.127631
0.475390 0.519376 4.691344e+19 19.671297 -5.717807e-05 1.328698e+19 19.123426 1.083976e+14 14.035020 0.129167
0.475590 0.522097 4.833620e+19 19.684273 -5.660923e-05 1.356981e+19 19.132574 1.105198e+14 14.043440 0.130715
0.475790 0.524818 4.978817e+19 19.697126 -5.605353e-05 1.385577e+19 19.141631 1.126667e+14 14.051795 0.132276
0.475990 0.527539 5.126949e+19 19.709859 -5.551062e-05 1.414485e+19 19.150598 1.148383e+14 14.060087 0.133850
0.476190 0.530260 5.278060e+19 19.722474 -5.498019e-05 1.443707e+19 19.159479 1.170348e+14 14.068315 0.135435
0.476390 0.532981 5.432181e+19 19.734974 -5.446190e-05 1.473245e+19 19.168275 1.192563e+14 14.076481 0.137034
0.476590 0.535703 5.589355e+19 19.747362 -5.395544e-05 1.503100e+19 19.176988 1.215030e+14 14.084587 0.138645
0.476790 0.538424 5.749598e+19 19.759637 -5.346047e-05 1.533274e+19 19.185620 1.237749e+14 14.092633 0.140268
0.476990 0.541145 5.912953e+19 19.771804 -5.297664e-05 1.563769e+19 19.194172 1.260723e+14 14.100620 0.141904
0.477190 0.543866 6.079451e+19 19.783864 -5.250362e-05 1.594586e+19 19.202648 1.283951e+14 14.108548 0.143552
0.477390 0.546587 6.249151e+19 19.795821 -5.204106e-05 1.625728e+19 19.211048 1.307436e+14 14.116420 0.145214
0.477590 0.549308 6.422053e+19 19.807674 -5.158863e-05 1.657196e+19 19.219374 1.331178e+14 14.124236 0.146888
